complaint_id,encounter_record_id,patient_visit_id,hospital_id,hospital_name,complaint_datetime,service_area,source,formal_complaint_flag,complaint_theme,complaint_text,sentiment,urgency,resolution_status,daily_average_wait_minutes,daily_critical_wait_share_pct,source_system,synthetic_flag
CMP0000041,EN000097,VIS00012879,KPJ_01,JCORP Specialist Hospital,2024-08-02 16:02:00,Emergency Department,Google Review,False,Facility Condition,The cleanliness of the area needs attention.,Negative,Low,Not Applicable,28.23,1.38,Patient Experience System,True
CMP0000042,EN000098,VIS00012960,KPJ_01,JCORP Specialist Hospital,2024-08-02 21:08:00,Outpatient Department,Call Centre,True,Long Waiting Time,I waited far too long before being attended to. The recorded wait was about 42 minutes.,Negative,High,Resolved,34.78,0.0,Patient Experience System,True
CMP0000043,EN000100,VIS00013240,KPJ_01,JCORP Specialist Hospital,2024-08-03 09:59:00,Emergency Department,Patient Portal,True,Billing,There was confusion about the bill.,Negative,Medium,In Progress,28.8,1.57,Patient Experience System,True
CMP0000044,EN000108,,KPJ_01,JCORP Specialist Hospital,2024-08-05 19:16:00,Inpatient Wards,Formal Complaint Form,True,Staff Attitude,The interaction with staff could have been more professional.,Negative,Low,In Progress,0.0,0.0,Patient Experience System,True
CMP0000045,EN000107,VIS00014041,KPJ_01,JCORP Specialist Hospital,2024-08-05 14:41:00,Outpatient Department,Google Review,False,Insufficient Staff,The counter was understaffed and service was slow.,Negative,Medium,Not Applicable,36.02,0.0,Patient Experience System,True
CMP0000046,EN000109,,KPJ_01,JCORP Specialist Hospital,2024-08-06 09:39:00,Emergency Department,Formal Complaint Form,True,Facility Condition,The facility condition could be improved.,Negative,Low,Resolved,29.51,2.52,Patient Experience System,True
CMP0000047,EN000114,,KPJ_01,JCORP Specialist Hospital,2024-08-07 19:23:00,Inpatient Wards,Patient Portal,True,Long Waiting Time,The waiting time was much longer than expected.,Negative,Medium,Resolved,0.0,0.0,Patient Experience System,True
CMP0000048,EN000116,VIS00015471,KPJ_01,JCORP Specialist Hospital,2024-08-08 12:17:00,Outpatient Department,Formal Complaint Form,True,Staff Attitude,I expected more courtesy during the visit.,Negative,Medium,Resolved,34.75,0.0,Patient Experience System,True
CMP0000049,EN000116,VIS00015536,KPJ_01,JCORP Specialist Hospital,2024-08-08 16:55:00,Outpatient Department,Patient Portal,True,Poor Communication,Staff communication about the waiting process was unclear.,Negative,Medium,Resolved,34.75,0.0,Patient Experience System,True
CMP0000050,EN000119,,KPJ_01,JCORP Specialist Hospital,2024-08-09 11:55:00,Outpatient Department,Google Review,False,Long Waiting Time,My appointment was delayed and no clear update was given.,Negative,Medium,Not Applicable,35.8,0.0,Patient Experience System,True
CMP0000051,EN000121,VIS00016129,KPJ_01,JCORP Specialist Hospital,2024-08-10 19:08:00,Emergency Department,Formal Complaint Form,True,Long Waiting Time,I arrived on time but still waited for a long period. The recorded wait was about 45 minutes.,Negative,Medium,Resolved,27.97,1.3,Patient Experience System,True
CMP0000052,EN000122,,KPJ_01,JCORP Specialist Hospital,2024-08-10 13:09:00,Outpatient Department,Google Review,False,Long Waiting Time,I arrived on time but still waited for a long period.,Negative,Medium,Not Applicable,34.7,0.0,Patient Experience System,True
CMP0000053,EN000124,,KPJ_01,JCORP Specialist Hospital,2024-08-11 18:00:00,Emergency Department,Formal Complaint Form,True,Insufficient Staff,More staff were needed to manage the patient flow.,Negative,High,Resolved,28.0,3.21,Patient Experience System,True
CMP0000054,EN000124,VIS00016367,KPJ_01,JCORP Specialist Hospital,2024-08-11 19:47:00,Emergency Department,Formal Complaint Form,True,Poor Communication,The instructions provided were confusing.,Negative,Medium,Resolved,28.0,3.21,Patient Experience System,True
CMP0000055,EN000126,,KPJ_01,JCORP Specialist Hospital,2024-08-11 14:08:00,Inpatient Wards,Call Centre,True,Facility Condition,The waiting area was not comfortable.,Neutral,Low,Open,0.0,0.0,Patient Experience System,True
CMP0000056,EN000127,,KPJ_01,JCORP Specialist Hospital,2024-08-12 21:27:00,Emergency Department,Patient Portal,True,Long Waiting Time,My appointment was delayed and no clear update was given.,Negative,Medium,Resolved,27.03,4.03,Patient Experience System,True
CMP0000057,EN000129,,KPJ_01,JCORP Specialist Hospital,2024-08-12 08:31:00,Inpatient Wards,Patient Portal,True,Staff Attitude,The interaction with staff could have been more professional.,Negative,Low,Resolved,0.0,0.0,Patient Experience System,True
CMP0000058,EN000128,,KPJ_01,JCORP Specialist Hospital,2024-08-12 19:42:00,Outpatient Department,Formal Complaint Form,True,Facility Condition,Some facilities were not functioning properly.,Negative,Medium,In Progress,35.01,0.0,Patient Experience System,True
CMP0000059,EN000130,,KPJ_01,JCORP Specialist Hospital,2024-08-13 10:31:00,Emergency Department,Google Review,False,Poor Communication,I did not receive enough information about what was happening.,Negative,High,Not Applicable,27.61,1.48,Patient Experience System,True
CMP0000060,EN000133,,KPJ_01,JCORP Specialist Hospital,2024-08-14 10:49:00,Emergency Department,Formal Complaint Form,True,Staff Attitude,The response from staff felt unfriendly.,Negative,Medium,Resolved,29.58,2.65,Patient Experience System,True
CMP0000061,EN000134,,KPJ_01,JCORP Specialist Hospital,2024-08-14 15:27:00,Outpatient Department,Facebook,False,Poor Communication,Staff communication about the waiting process was unclear.,Negative,Medium,Not Applicable,35.08,0.0,Patient Experience System,True
CMP0000062,EN000134,VIS00017980,KPJ_01,JCORP Specialist Hospital,2024-08-14 16:44:00,Outpatient Department,Patient Portal,True,Insufficient Staff,More staff were needed to manage the patient flow.,Negative,Medium,Open,35.08,0.0,Patient Experience System,True
CMP0000063,EN000142,VIS00018997,KPJ_01,JCORP Specialist Hospital,2024-08-17 21:21:00,Emergency Department,Google Review,False,Long Waiting Time,The queue moved very slowly and the wait was frustrating. The recorded wait was about 23 minutes.,Negative,Medium,Not Applicable,28.39,2.11,Patient Experience System,True
CMP0000064,EN000144,,KPJ_01,JCORP Specialist Hospital,2024-08-17 08:52:00,Inpatient Wards,Google Review,False,Long Waiting Time,I arrived on time but still waited for a long period.,Negative,Medium,Not Applicable,0.0,0.0,Patient Experience System,True
CMP0000065,EN000143,VIS00019105,KPJ_01,JCORP Specialist Hospital,2024-08-17 21:20:00,Outpatient Department,Patient Portal,True,Overcrowding,The department felt congested and uncomfortable.,Negative,Medium,Resolved,34.74,0.0,Patient Experience System,True
CMP0000066,EN000148,VIS00019425,KPJ_01,JCORP Specialist Hospital,2024-08-19 17:02:00,Emergency Department,Facebook,False,Long Waiting Time,The waiting time was much longer than expected. The recorded wait was about 35 minutes.,Negative,Medium,Not Applicable,28.28,2.8,Patient Experience System,True
CMP0000067,EN000149,,KPJ_01,JCORP Specialist Hospital,2024-08-19 12:37:00,Outpatient Department,Formal Complaint Form,True,Long Waiting Time,I waited far too long before being attended to.,Negative,Medium,Resolved,33.5,0.0,Patient Experience System,True
CMP0000068,EN000154,,KPJ_01,JCORP Specialist Hospital,2024-08-21 13:21:00,Emergency Department,Patient Portal,True,Poor Communication,Staff communication about the waiting process was unclear.,Negative,Medium,Resolved,30.38,2.07,Patient Experience System,True
CMP0000069,EN000155,VIS00020502,KPJ_01,JCORP Specialist Hospital,2024-08-21 20:08:00,Outpatient Department,Call Centre,True,Long Waiting Time,The queue moved very slowly and the wait was frustrating. The recorded wait was about 44 minutes.,Negative,High,Resolved,35.1,0.0,Patient Experience System,True
CMP0000070,EN000157,VIS00020833,KPJ_01,JCORP Specialist Hospital,2024-08-22 16:58:00,Emergency Department,Facebook,False,Staff Attitude,The service attitude did not meet expectations.,Negative,Medium,Not Applicable,29.74,5.11,Patient Experience System,True
CMP0000071,EN000160,VIS00021201,KPJ_01,JCORP Specialist Hospital,2024-08-23 14:58:00,Emergency Department,Facebook,False,Poor Communication,The instructions provided were confusing.,Negative,High,Not Applicable,27.24,4.05,Patient Experience System,True
CMP0000072,EN000162,,KPJ_01,JCORP Specialist Hospital,2024-08-23 20:00:00,Inpatient Wards,Facebook,False,Poor Communication,The instructions provided were confusing.,Negative,Low,Not Applicable,0.0,0.0,Patient Experience System,True
CMP0000073,EN000161,VIS00021542,KPJ_01,JCORP Specialist Hospital,2024-08-23 16:28:00,Outpatient Department,Facebook,False,Poor Communication,Staff communication about the waiting process was unclear.,Negative,Low,Not Applicable,34.87,0.0,Patient Experience System,True
CMP0000074,EN000164,,KPJ_01,JCORP Specialist Hospital,2024-08-24 14:44:00,Outpatient Department,Google Review,False,Overcrowding,Patient flow appeared poorly managed.,Negative,Medium,Not Applicable,35.23,0.0,Patient Experience System,True
CMP0000075,EN000168,,KPJ_01,JCORP Specialist Hospital,2024-08-25 15:34:00,Inpatient Wards,Call Centre,True,Insufficient Staff,The counter was understaffed and service was slow.,Negative,High,Resolved,0.0,0.0,Patient Experience System,True
CMP0000076,EN000167,VIS00022174,KPJ_01,JCORP Specialist Hospital,2024-08-25 13:07:00,Outpatient Department,Google Review,False,Long Waiting Time,I arrived on time but still waited for a long period. The recorded wait was about 50 minutes.,Negative,High,Not Applicable,34.98,0.0,Patient Experience System,True
CMP0000077,EN000170,VIS00022424,KPJ_01,JCORP Specialist Hospital,2024-08-26 17:37:00,Outpatient Department,Call Centre,True,Billing,The billing explanation was not satisfactory.,Negative,Low,Resolved,34.49,0.0,Patient Experience System,True
CMP0000078,EN000170,VIS00022611,KPJ_01,JCORP Specialist Hospital,2024-08-26 20:17:00,Outpatient Department,Facebook,False,Overcrowding,The waiting space was very crowded.,Negative,Medium,Not Applicable,34.49,0.0,Patient Experience System,True
CMP0000079,EN000170,,KPJ_01,JCORP Specialist Hospital,2024-08-26 08:19:00,Outpatient Department,Patient Portal,True,Overcrowding,The waiting area was overcrowded.,Negative,High,Resolved,34.49,0.0,Patient Experience System,True
CMP0000080,EN000173,VIS00023019,KPJ_01,JCORP Specialist Hospital,2024-08-27 19:15:00,Outpatient Department,Call Centre,True,Insufficient Staff,Only a few staff members were handling many patients.,Negative,Medium,In Progress,34.63,0.0,Patient Experience System,True
CMP0000081,EN000173,VIS00022886,KPJ_01,JCORP Specialist Hospital,2024-08-27 21:24:00,Outpatient Department,Facebook,False,Poor Communication,I did not receive enough information about what was happening.,Negative,Medium,Not Applicable,34.63,0.0,Patient Experience System,True
CMP0000082,EN000176,VIS00023305,KPJ_01,JCORP Specialist Hospital,2024-08-28 16:21:00,Outpatient Department,Facebook,False,Insufficient Staff,The department appeared short-staffed during a busy period.,Negative,High,Not Applicable,34.84,0.0,Patient Experience System,True
CMP0000083,EN000181,VIS00024161,KPJ_01,JCORP Specialist Hospital,2024-08-30 15:26:00,Emergency Department,Facebook,False,Long Waiting Time,My appointment was delayed and no clear update was given. The recorded wait was about 8 minutes.,Negative,Medium,Not Applicable,28.2,4.73,Patient Experience System,True
CMP0000084,EN000190,,KPJ_01,JCORP Specialist Hospital,2024-09-02 11:57:00,Emergency Department,Formal Complaint Form,True,Insufficient Staff,More staff were needed to manage the patient flow.,Negative,Medium,In Progress,28.04,1.3,Patient Experience System,True
CMP0000085,EN000194,VIS00025899,KPJ_01,JCORP Specialist Hospital,2024-09-03 08:07:00,Outpatient Department,Formal Complaint Form,True,Long Waiting Time,The queue moved very slowly and the wait was frustrating. The recorded wait was about 43 minutes.,Negative,Medium,Open,35.35,0.0,Patient Experience System,True
CMP0000086,EN000197,,KPJ_01,JCORP Specialist Hospital,2024-09-04 20:58:00,Outpatient Department,Patient Portal,True,Insufficient Staff,Only a few staff members were handling many patients.,Negative,High,Resolved,34.63,0.0,Patient Experience System,True
CMP0000087,EN000199,VIS00026499,KPJ_01,JCORP Specialist Hospital,2024-09-05 10:10:00,Emergency Department,Google Review,False,Poor Communication,The instructions provided were confusing.,Negative,Medium,Not Applicable,27.83,3.4,Patient Experience System,True
CMP0000088,EN000200,VIS00026732,KPJ_01,JCORP Specialist Hospital,2024-09-05 09:34:00,Outpatient Department,Patient Portal,True,Overcrowding,There were too many patients in the service area.,Negative,Medium,Resolved,35.52,0.0,Patient Experience System,True
CMP0000089,EN000211,VIS00027943,KPJ_01,JCORP Specialist Hospital,2024-09-09 14:37:00,Emergency Department,Formal Complaint Form,True,Poor Communication,No one updated us about the service delay.,Negative,Medium,Resolved,28.24,3.52,Patient Experience System,True
CMP0000090,EN000211,,KPJ_01,JCORP Specialist Hospital,2024-09-09 14:15:00,Emergency Department,Formal Complaint Form,True,Billing,I had difficulty understanding the charges.,Negative,Low,Open,28.24,3.52,Patient Experience System,True
CMP0000091,EN000213,,KPJ_01,JCORP Specialist Hospital,2024-09-09 10:17:00,Inpatient Wards,Google Review,False,Long Waiting Time,I waited far too long before being attended to.,Negative,Medium,Not Applicable,0.0,0.0,Patient Experience System,True
CMP0000092,EN000214,,KPJ_01,JCORP Specialist Hospital,2024-09-10 13:00:00,Emergency Department,Formal Complaint Form,True,Insufficient Staff,More staff were needed to manage the patient flow.,Negative,Medium,Resolved,29.41,3.23,Patient Experience System,True
CMP0000093,EN000215,VIS00028534,KPJ_01,JCORP Specialist Hospital,2024-09-10 17:05:00,Outpatient Department,Formal Complaint Form,True,Insufficient Staff,More staff were needed to manage the patient flow.,Negative,Medium,In Progress,35.6,0.0,Patient Experience System,True
CMP0000094,EN000219,,KPJ_01,JCORP Specialist Hospital,2024-09-11 08:20:00,Inpatient Wards,Patient Portal,True,Facility Condition,The facility condition could be improved.,Negative,Medium,Resolved,0.0,0.0,Patient Experience System,True
CMP0000095,EN000226,,KPJ_01,JCORP Specialist Hospital,2024-09-14 12:37:00,Emergency Department,Facebook,False,Poor Communication,No one updated us about the service delay.,Negative,Medium,Not Applicable,28.98,0.67,Patient Experience System,True
CMP0000096,EN000229,VIS00030559,KPJ_01,JCORP Specialist Hospital,2024-09-15 18:57:00,Emergency Department,Google Review,False,Poor Communication,The delay was not explained clearly.,Negative,Medium,Not Applicable,30.43,1.37,Patient Experience System,True
CMP0000097,EN000233,VIS00031140,KPJ_01,JCORP Specialist Hospital,2024-09-16 18:44:00,Outpatient Department,Call Centre,True,Long Waiting Time,I waited far too long before being attended to. The recorded wait was about 36 minutes.,Negative,Medium,In Progress,35.23,0.0,Patient Experience System,True
CMP0000098,EN000235,VIS00031418,KPJ_01,JCORP Specialist Hospital,2024-09-17 10:17:00,Emergency Department,Facebook,False,Long Waiting Time,I waited far too long before being attended to. The recorded wait was about 50 minutes.,Negative,Medium,Not Applicable,28.43,3.33,Patient Experience System,True
CMP0000099,EN000238,,KPJ_01,JCORP Specialist Hospital,2024-09-18 19:58:00,Emergency Department,Call Centre,True,Poor Communication,I did not receive enough information about what was happening.,Negative,Medium,Resolved,29.14,2.01,Patient Experience System,True
CMP0000100,EN000240,,KPJ_01,JCORP Specialist Hospital,2024-09-18 16:45:00,Inpatient Wards,Facebook,False,Insufficient Staff,The counter was understaffed and service was slow.,Negative,Medium,Not Applicable,0.0,0.0,Patient Experience System,True
CMP0000101,EN000241,VIS00032234,KPJ_01,JCORP Specialist Hospital,2024-09-19 14:37:00,Emergency Department,Call Centre,True,Long Waiting Time,I waited far too long before being attended to. The recorded wait was about 32 minutes.,Negative,Medium,Resolved,30.25,1.23,Patient Experience System,True
CMP0000102,EN000243,,KPJ_01,JCORP Specialist Hospital,2024-09-19 16:40:00,Inpatient Wards,Google Review,False,Poor Communication,No one updated us about the service delay.,Negative,Low,Not Applicable,0.0,0.0,Patient Experience System,True
CMP0000103,EN000242,VIS00032662,KPJ_01,JCORP Specialist Hospital,2024-09-19 19:40:00,Outpatient Department,Google Review,False,Long Waiting Time,The queue moved very slowly and the wait was frustrating. The recorded wait was about 36 minutes.,Negative,High,Not Applicable,34.31,0.0,Patient Experience System,True
CMP0000104,EN000244,VIS00032765,KPJ_01,JCORP Specialist Hospital,2024-09-20 19:07:00,Emergency Department,Patient Portal,True,Insufficient Staff,More staff were needed to manage the patient flow.,Negative,Medium,Resolved,31.8,4.38,Patient Experience System,True
CMP0000105,EN000247,VIS00033279,KPJ_01,JCORP Specialist Hospital,2024-09-21 18:37:00,Emergency Department,Patient Portal,True,Staff Attitude,The service attitude did not meet expectations.,Negative,Low,Resolved,29.8,1.75,Patient Experience System,True
CMP0000106,EN000253,VIS00033781,KPJ_01,JCORP Specialist Hospital,2024-09-23 08:04:00,Emergency Department,Formal Complaint Form,True,Staff Attitude,The staff member was not very helpful.,Negative,Medium,Resolved,28.44,5.88,Patient Experience System,True
CMP0000107,EN000256,VIS00034272,KPJ_01,JCORP Specialist Hospital,2024-09-24 16:38:00,Emergency Department,Google Review,False,Poor Communication,I did not receive enough information about what was happening.,Negative,Medium,Not Applicable,29.89,1.9,Patient Experience System,True
CMP0000108,EN000257,VIS00034426,KPJ_01,JCORP Specialist Hospital,2024-09-24 18:08:00,Outpatient Department,Formal Complaint Form,True,Facility Condition,The facility condition could be improved.,Negative,Low,Resolved,34.37,0.0,Patient Experience System,True
CMP0000109,EN000260,VIS00034820,KPJ_01,JCORP Specialist Hospital,2024-09-25 12:36:00,Outpatient Department,Patient Portal,True,Staff Attitude,The response from staff felt unfriendly.,Negative,High,Resolved,34.23,0.0,Patient Experience System,True
CMP0000110,EN000265,VIS00035646,KPJ_01,JCORP Specialist Hospital,2024-09-27 21:00:00,Emergency Department,Patient Portal,True,Insufficient Staff,There did not seem to be enough staff available.,Negative,Medium,In Progress,29.52,2.19,Patient Experience System,True
CMP0000111,EN000266,VIS00035763,KPJ_01,JCORP Specialist Hospital,2024-09-27 13:26:00,Outpatient Department,Google Review,False,Staff Attitude,The interaction with staff could have been more professional.,Negative,Medium,Not Applicable,34.52,0.0,Patient Experience System,True
CMP0000112,EN000269,VIS00036207,KPJ_01,JCORP Specialist Hospital,2024-09-28 11:47:00,Outpatient Department,Formal Complaint Form,True,Poor Communication,Staff communication about the waiting process was unclear.,Negative,Medium,Resolved,33.41,0.0,Patient Experience System,True
CMP0000113,EN000275,VIS00036904,KPJ_01,JCORP Specialist Hospital,2024-09-30 11:33:00,Outpatient Department,Patient Portal,True,Poor Communication,No one updated us about the service delay.,Negative,Medium,Open,34.95,0.0,Patient Experience System,True
